train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
2.6108928863443848,0.29194335351960665,0.2919256389141083,2.1141818232006497,0.38784722222222223,0.3873141407966614
1.356325437034373,0.5857679278090898,0.5857682228088379,1.7057468899974118,0.53125,0.5318308472633362
0.9271794396926922,0.7063075233840989,0.7063026428222656,1.5530068035478946,0.5971064814814815,0.5968866348266602
0.7057565621283861,0.7753655639165368,0.7753702998161316,1.1651969697740343,0.6780092592592593,0.6778578162193298
0.5772640072501725,0.8153930327377383,0.8153935670852661,1.0118186559942033,0.7195601851851852,0.7194470167160034
0.5071160083975934,0.8360724082623816,0.8360732197761536,0.6699435567414319,0.7974537037037037,0.7976301312446594
0.47129105510654057,0.8485383064516129,0.8485332727432251,2.1526888776708533,0.5104166666666666,0.5099906921386719
0.4484413399960029,0.8558196051684854,0.8558233976364136,3.976127930040713,0.45810185185185187,0.4575975835323334
0.41885674800239087,0.8642747931406644,0.864275336265564,0.4861008562423565,0.8502314814814815,0.8501393795013428
0.3961332748370543,0.8726709587480512,0.8726691603660583,0.9333031455675761,0.7587962962962963,0.7587128281593323
