train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
0.2430318789301288,0.9294822645600992,0.9294800758361816,0.07599566374484755,0.9787407063197026,0.9787406921386719
0.08409274041416387,0.9747599132589839,0.9747604131698608,0.036958895949343894,0.9903578066914498,0.9903578162193298
0.06391299183513549,0.979581009913259,0.9795817732810974,0.05965809147462221,0.979089219330855,0.9790892004966736
0.05570173233163891,0.9830351610904585,0.983038067817688,0.04784789106276944,0.9853624535315985,0.9853624701499939
0.045555585840398115,0.9854747521685254,0.9854778051376343,0.048391238064547086,0.9869888475836431,0.9869888424873352
0.044518908946481694,0.9858813506815366,0.985884428024292,0.07082686203062744,0.9821096654275093,0.9821096658706665
0.037607872229192055,0.9878601301115242,0.9878594279289246,0.04546609508307723,0.9872211895910781,0.9872211813926697
0.03294090569533922,0.9897769516728625,0.9897763729095459,0.03513792410949903,0.9893122676579925,0.9893122911453247
0.036412157953838425,0.9890218401486989,0.9890211820602417,0.04450703780268506,0.9862918215613383,0.9862918257713318
0.027078687386232876,0.9912852385377944,0.9912866950035095,0.019084116109182658,0.9948884758364313,0.9948884844779968
